witness_ID;text_ID
Herzog August Bibliothek, Wolfenbüttel : Cod. Guelf. 42.7. Aug. 4to;Mábilu rímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 603 4to;Mábilu rímur (riddararímur)
Royal Library, Stockholm : Perg. 4to 22;Mágus rímur jarls (/Bragða-Magus ) (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Reinalds rímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 603 4to;Reinalds rímur (riddararímur)
Royal Library, Stockholm : Perg. 22 4to;Rollants rímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Sálus rímur ok Nikanórs (riddararímur)
Herzog August Bibliothek, Wolfenbüttel : Cod. Guelf. 42.7. Aug. 4to;Sálus rímur ok Nikanórs (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 603 4to;Sálus rímur  ok Nikanórs (riddararímur)
Herzog August Bibliothek, Wolfenbüttel : Cod. Guelf. 42.7. Aug. 4to;Sigurðar rímur fóts (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Sigurðar rímur þögla (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 603 4to;Sigurðar rímur þögla (riddararímur)
Royal Library, Stockholm : 23 4to;Sigurðar rímur þögla (riddararímur)
Herzog August Bibliothek, Wolfenbüttel : Cod. Guelf. 42.7. Aug. 4to;Skikkjurímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Vilmundar rímur viðutan. Ormur Loftsson. (riddararímur)
Arnamagnæan Collection, Copenhagen : AM 1 e β I fol.;Sögubrot af nokkrum fornkonungum í Dana og Svíaveldi (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 54 fol.;Norna-Gests þáttur (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 54 fol.;Helga þáttur Þórissonar (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 62 fol.;Norna-Gests þáttur (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 62 fol.;Helga þáttur Þórissonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 152 1 fol.;Hálfdanar saga Brönufóstra (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 152 1 fol.;Göngu-Hrólfs saga (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 152 1 fol.;Þorsteins saga Víkingssonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 152 1 fol.;Hrólfs saga Gautrekssonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 152 1 fol.;Gautreks saga (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 309 4to;Norna-Gests þáttur (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 309 4to;Helga þáttur Þórissonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 335 4to;Sturlaugs saga starfsama (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Þorsteins þáttur bæjarmagns (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Egils saga einhenda og Ásmundar berserkjabana (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Yngvars saga víðförla (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Ketils saga hængs (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Gríms saga loðinkinna (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Örvar-Odds saga (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Áns saga bogsveigis (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Hálfdanar saga Eysteinssonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 343 a 4to;Bósa saga (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 344 a 4to;Örvar-Odds saga (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 357 4to;Hrólfs saga Gautrekssonar (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 471 4to;Ketils saga hængs (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 471 4to;Gríms saga loðinkinna (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 471 4to;Örvar-Odds saga (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 510 4to;Bósa saga (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 510 4to;Þorsteins þáttur bæjarmagns (fornaldarsögur)
Arnamagnæan Collection, Reykjavík : AM 510 4to;Friðþjófs saga (fornaldarsögur)
Arnamagnæan Collection, Copenhagen : AM 544 4to Hauksbók;Hervarar saga og Heiðreks (fornaldarsögur)
