witness_ID;text_ID;author
p_°Q_0141;BEdT 167,056;Gançelus.
p_°Q_0142;BEdT 167,022;Gançelus.
p_°Q_0143;BEdT 167,015;Gauçelus.
p_°Q_0143a;BEdT 461,130;0
p_°Q_0144;BEdT 461,032;0
p_°Q_0145;BEdT 167,056;Gançelus.
p_°Q_0146;BEdT 167,032;Ga(n)çelus.
p_°Q_0147;BEdT 406,013;Raimo(n)t [d(e)] miraua[l].
p_°Q_0148;BEdT 406,002;Raimo(n)t.
p_°Q_0149;BEdT 406,042;Raimo(n)t.
p_°Q_0150;BEdT 167,032;0
p_°Q_0151;BEdT 167,060;Gançelus.
p_°Q_0152;BEdT 167,062;Gançelus.
p_°Q_0153;BEdT 167,058;Gançelus.
p_°Q_0154;BEdT 167,034;Gançelus.
p_°Q_0155;BEdT 167,027;Gançelus.
p_°Q_0156;BEdT 167,052;0
p_°Q_0157;BEdT 167,017;Gançelus.
p_°Q_0158;BEdT 167,030;Gançelus.
p_°Q_0159;BEdT 167,059;Gançelus.
p_°Q_0160;BEdT 030,013;Arnau(n)t d(e) miroil.
p_°Q_0161;BEdT 030,015;Arnadus.
p_°Q_0162;BEdT 030,001;Arnadus.
p_°Q_0163;BEdT 030,021;Arnadus.
p_°Q_0164@;BEdT 406,042;0
p_°Q_0165;BEdT 406,020;Raimo(n)t.
p_°Q_0166;BEdT 406,007;Raimo(n)t.
p_°Q_0167;BEdT 406,012;Raimo(n)t.
p_°Q_0168;BEdT 030,022;Raimo(n)t.
p_°Q_0169;BEdT 030,006;Raimo(n)t.
p_°Q_0170;BEdT 030,008;Raimo(n)t.
p_°Q_0171;BEdT 030,019;Raimo(n)t.
p_°Q_0172;BEdT 030,023;Ramo(n)t.
p_°Q_0173;BEdT 030,003;Raimu(n)dus.
p_°Q_0174;BEdT 030,016;Raimo(n)dus
p_°Q_0175;BEdT 030,016;Raimo(n)dus.
p_°Q_0175_01;BEdT 461,185;0
p_°Q_0176@;BEdT 364,011;Pere uidalus.
p_°Q_0177;BEdT 364,031;Petrus uitalus.
p_°Q_0178;BEdT 364,024;Petrus.
p_°Q_0179;BEdT 364,040;Petrus.
p_°Q_0180;BEdT 364,040;Petrus.
p_°Q_0181;BEdT 364,004;Petrus.
p_°Q_0182;BEdT 364,043;Petrus.
p_°Q_0183;BEdT 364,014;Petrus.
p_°Q_0184;BEdT 364,039;Petrus.
p_°Q_0185;BEdT 364,037;Petrus.
p_°Q_0186;BEdT 364,015;Petrus.
p_°Q_0187;BEdT 364,047;Petrus.
p_°Q_0188;BEdT 364,013;Petrus.
p_°Q_0189;BEdT 364,016;Petrus.
p_°Q_0190;BEdT 364,035;Petrus.
p_°Q_0191;BEdT 364,036;Petrus.
p_°Q_0192;BEdT 364,030;Petrus.
p_°Q_0193;BEdT 364,018;Petrus.
p_°Q_0194;BEdT 364,007;Petrus.
p_°Q_0195@;BEdT 364,008;Petrus.
p_°Q_0196;BEdT 364,029;Petrus.
p_°Q_0197;BEdT 364,048;Petrus.
p_°Q_0197a;BEdT 461,175a;-
p_°Q_0198;BEdT 364,042;Petrus.
p_°Q_0199;BEdT 364,021;Petrus.
p_°Q_0200@;BEdT 364,017;[Petrus.]
p_°Q_0201;BEdT 364,010;Petrus.
p_°Q_0202;BEdT 364,022;Petrus.
p_°Q_0203;BEdT 366,013;Perolus.
p_°Q_0204;BEdT 366,020;Perolus.
p_°Q_0205;BEdT 366,012;Perolus.
p_°Q_0206;BEdT 173,003;Perolus.
p_°Q_0207;BEdT 366,019;Perolus.
p_°Q_0208;BEdT 366,003;Perolus.
p_°Q_0209;BEdT 366,014;Perolus.
p_°Q_0210;BEdT 366,009;Perolus.
p_°Q_0211;BEdT 366,026;Perolus.
p_°Q_0212;BEdT 366,031;Perolus.
p_°Q_0212_01;BEdT 392,026;0
