witness_ID;text_ID
BL Additional 30512;Imram Snédgusa & Meic Ríagla
RIA MS 23 E 29 (Book of Fermoy);Imram Snédgusa & Meic Ríagla
RIA MS 23 E 29 (Book of Fermoy);Imthecht Cáenchomraic
UCC Book of Lismore;Imthecht Cáenchomraic
RIA MS 23 P 2 (Book of Lecan);Imthechta Tuirill Picreo & a mac
Bodleian Rawlinson B. 512;Imthechta Tuirill Picreo & a mac
BL Harley 5280;Imthechta Tuirill Picreo & a mac
NLS 72.2.6;Imthechta Tuirill Picreo & a mac
TCL MS 1339 (Book of Leinster);Longes mac nUislenn
TCL MS 1318 (Yellow Book of Lecan);Longes mac nUislenn
BL Egerton 1782;Longes mac nUislenn
RIA MS 23 P 2 (Book of Lecan) and 6 further MSS;Lugna Fer Trí & Cormac mac Airt: fragmenta
NLS Advocates 72.2.3;Oided Mac nUisnig
Bodelian Laud Misc. 610;Macgnímartha Finn
RIA MS 23 N 10;Macha Mongrúad
RIA MS 23 E 25 (Lebor na hUidre);Mesca Ulad
TCL MS 1339 (Book of Leinster);Mesca Ulad
NLI G 4 ;Mesca Ulad
NLS Advocates 72.1.40;Mesca Ulad
RIA MS 23 E 25 (Lebor na hUidre) and 9 further MSS;Mongán Tales
Bodleian Rawlinson B. 502 and 7 further MSS;Orgain Néill Noígíallaig
TCL MS 1339 (Book of Leinster);Orgain Denna Ríg
Bodleian Rawlinson B. 502;Orgain Denna Ríg
TCL MS 1318 (Yellow Book of Lecan);Orgain Denna Ríg
Bodleian Rawlinson B. 502;Orgain trí mac Diarmata meic Cerbaill
RIA MS D ii 1 (Book of Uí Maine);Orgain trí mac Diarmata meic Cerbaill
Bodleian Rawlinson B. 512;Orgain trí mac Diarmata meic Cerbaill
RIA MS 23 N  10;Finn & Oisín
BL Harley 5280;Finn & Oisín
TCL MS 1336;Reicne Fothaid Canainne
NLI MS G 7;Reicne Fothaid Canainne
RIA MS 23 P 12 (Book of Ballymote);Scél na Fírflatha
TCL MS 1318 (Yellow Book of Lecan);Scél na Fírflatha
RIA MS 23 E 29 (Book of Fermoy);Scél na Fírflatha
RIA MS 23 E 25 (Lebor na hUidre);Scél Túain maic Cairill
Bodleian Laud Misc. 610 (Saltair mic Ruisdeard);Scél Túain maic Cairill
RIA MS 23 E 29 (Book of Fermoy);Scél Túain maic Cairill
Bodleian Rawlinson B. 512;Scél Túain maic Cairill
TCL MS 1337;Scél Túain maic Cairill
TCL MS 1318 (Yellow Book of Lecan);Scéla Cano maic Gartnáin
TCL MS 1339 (Book of Leinster);Scéla Conchobuir meic Nessa
RIA MS 23 P 12 (Book of Ballymote);Scéla Conchobuir meic Nessa
UCC Book of Lismore;Scéla Conchobuir meic Nessa
Bodleian Laud Misc. 610 (Saltair mic Ruisdeard);Scéla Éogain & Cormaic
TCL MS 1336;Scéla Éogain & Cormaic
Bodleian Laud Misc. 610 (Saltair mic Ruisdeard);Scéla Mo Shauluim & Maic Con
TCL MS 1339 (Book of Leinster);Scéla mucce meic Dathó
TCL 1337;Scéla mucce meic Dathó
BL Harley 5280;Scéla mucce meic Dathó
Bodleian Bawl. B 512;Scéla mucce meic Dathó
RIA MS D iv 2;Sénad Saigre
RIA MS 23 O 48 (Liber Flavus Fergusiorum);Sénad Saigre
RIA MS 23 E 25 (Lebor na hUidre);Senchas na relec
TCL MS 1336;Senchas na relec
RIA MS 23 E 25 (Lebor na hUidre);Serglige Con Culainn & Óenét Emire
TCL MS 1363;Serglige Con Culainn & Óenét Emire
RIA MS 23 E 25 (Lebor na hUidre);Síaburcharpat Con Culainn
BL Egerton 88;Síaburcharpat Con Culainn
BL Additional 33993;Síaburcharpat Con Culainn
TCL MS 1298;Stair Nuadat Find Femin
TCL MS 1318 (Yellow Book of Lecan);Suidigud Tellaig Temra
Bodleian Laud Misc 610;Suidigud Tellaig Temra
UCC Book of Lismore;Suidigud Tellaig Temra
UCC Book of Lismore;Suidigud Tellaig Temra
TCL MS 1336;Suidigud Tellaig Temra
TCL MS 1318 (Yellow Book of Lecan);Táin bó Cúailnge
RIA MS 23 E 25 (Lebor na hUidre);Táin bó Cúailnge
BL Egerton 1782;Táin bó Cúailnge
TCL MS 1339 (Book of Leinster);Táin bó Cúailnge
TCL MS 1319;Táin bó Cúailnge
BL Egerton 93;Táin bó Cúailnge
RIA MS 23 E 25 (Lebor na hUidre);Táin bó Dartada
TCL MS 1318 (Yellow Book of Lecan);Táin bó Dartada
BL Egerton 1782;Táin bó Dartada
BL Additional 33993;Táin bó Dartada
RIA MS 23 E 25 (Lebor na hUidre);Táin bó Flidais
TCL 1339;Táin bó Flidais
BL Egerton 1782;Táin bó Flidais
TCL 1337;Táin bó Flidais
RIA 23 0 48;Táin bó Flidais
TCL MS 1318 (Yellow Book of Lecan);Táin bó Flidais
NLS 72.2.3;Táin bó Flidais
TCL MS 1339 (Book of Leinster);Táin bó Fraích
TCL MS 1318 (Yellow Book of Lecan);Táin bó Fraích
NLS Advocates 72.1.40;Táin bó Fraích
BL Egerton 1782;Táin bó Fraích
TCL MS 1337;Táin bó Fraích
TCL MS 1318 (Yellow Book of Lecan);Táin bó Regamain
BL Egerton 1782;Táin bó Regamain
BL Additional 33993;Táin bó Regamain
TCL MS 1337;Táin bó Regamain
TCL MS 1318 (Yellow Book of Lecan);Táin bó Regamna
BL Egerton 1782;Táin bó Regamna
TCL MS 1339 (Book of Leinster);Talland Étair
BL Harley 5280;Talland Étair
Bodleian Laud Misc 610;Tesmolto Cormaic & Aided Fhinn
BL Egerton 92;Tesmolto Cormaic & Aided Fhinn
BL Egerton 1782;Tesmolto Cormaic & Aided Fhinn
TCD MS 1336;Tochmarc Ailbe
TCL MS 1318 (Yellow Book of Lecan);Tochmarc Becfhola
TCL MS 1337;Tochmarc Becfhola
BL Egerton 1781;Tochmarc Becfhola
RIA MS 23 E 25 (Lebor na hUidre);Tochmarc Emire
Oxford Rawl. B 512;Tochmarc Emire
RIA 23 N 10;Tochmarc Emire
BL Harley 5280;Tochmarc Emire
RIA D iv 2;Tochmarc Emire
BL Egerton 92;Tochmarc Emire
RIA 23 E 29;Tochmarc Emire
RIA MS 23 E 25 (Lebor na hUidre);Tochmarc Étaíne
NLI MS G 4;Tochmarc Étaíne
TCL MS 1318 (Yellow Book of Lecan);Tochmarc Étaíne
BL Egerton 1782;Tochmarc Étaíne
TCL MS 1337;Tochmarc Étaíne
TCL MS 1339 (Book of Leinster);Tochmarc Ferbe
BL Egerton 1782;Tochmarc Ferbe
TCL MS 1318 (Yellow Book of Lecan);Tochmarc Lúaine & Aided Athirne
RIA MS 23 P 12 (Book of Ballymote);Tochmarc Lúaine & Aided Athirne
TCL MS 1319;Tochmarc Lúaine & Aided Athirne
TCL MS 1318 (Yellow Book of Lecan);Tochmarc Momera
RIA MS 23 E 29 (Book of Fermoy);Tochmarc Treblainne
Cambridge Trinity College R.14.48;Tochomlad Mac Miled a hEspáin
TCL MS 1363;Tochomlad Mac Miled a hEspáin
RIA MS 23 E 25 (Lebor na hUidre);Togail Bruidne Da Derga
NLI G 7;Togail Bruidne Da Derga
RIA 23 N 10;Togail Bruidne Da Derga
TCL 1337;Togail Bruidne Da Derga
BL Egerton 88;Togail Bruidne Da Derga
RIA 23 E 29;Togail Bruidne Da Derga
UCC Book of Lismore;Tromdám Guaire
TCL MS 1339 (Book of Leinster);Tuathal Techtmar & Fiachra Cassán
TCL MS 1318 (Yellow Book of Lecan);Tucait fagbála in fessa do Finn & marbad Cúlduib
RIA MS D iv 2;Tucait fagbála in fessa do Finn & marbad Cúlduib
Bodleian Rawlinson B. 502;Tucait indarba na nDéssi
RIA MS D ii 1 (Book of Uí Maine);Tucait indarba na nDéssi
Bodleian Laud Misc. 610;Tucait indarba na nDéssi
RIA MS 23 O 48 (Liber Flavus Ferusiorum);Tucait indarba na nDéssi
RIA MS 23 E 25 (Lebor na hUidre);Tucait indarba na nDéssi
TCL MS 1316;Tucait indarba na nDéssi
TCL MS 1336;Tucait indarba na nDéssi
BL Harley 5280;Úath Beinne Étair
RIA MS 23 N 10;Úath Beinne Étair
RIA MS C iii 2;Úath Beinne Étair
Royal Irish Academy (Dublin) D iv 2;Finghall Chlainne Tantail
King's Inns (Dublin) MS 12;Finghall Chlainne Tantail
Royal Irish Academy (Dublin) 23 P 12;Imthechta Áeníasa
University College Dublin OFM A 12;Imthechta Áeníasa
King's Inns (Dublin) MS 13;Imthechta Áeníasa
Trinity College Library MS 1298;In Cath Catharda
Trinity College Library MS 1337;In Cath Catharda
Royal Irish Academy (Dublin) D iv 2;In Cath Catharda
University College Dublin OFM A 17;In Cath Catharda
National Library of Scotland 72.1.46;In Cath Catharda
Royal Irish Academy (Dublin) D i 1;In Cath Catharda
Royal Irish Academy (Dublin) 24 P 17;In Cath Catharda
Royal Irish Academy (Dublin) C iv 2;In Cath Catharda
Royal Irish Academy (Dublin) C vi 3;In Cath Catharda
Royal Irish Academy (Dublin) 24 P 28;In Cath Catharda
Cambridge University Library, Add. 3082;In Cath Catharda
Royal Irish Academy (Dublin) D iv 2;In Tres Troí
King's Inns (Dublin) MS 12;In Tres Troí
Royal Irish Academy (Dublin) D iv 2;Merugud Ulix meic Leirtis
Royal Irish Academy (Dublin) 23 P 12;Merugud Ulix meic Leirtis
King's Inns (Dublin) MS 12;Merugud Ulix meic Leirtis
Trinity College Library MS 1336;Romul agus Remul
Royal Irish Academy (Dublin) D iv 2;Scél an Mínaduir
Royal Irish Academy (Dublin) 23 P 12;Scéla Alaxandair
Royal Irish Academy (Dublin) 23 P 16;Scéla Alaxandair
Bodleian (Oxford) Rawlinson B 512;Scéla Alaxandair
Trinity College Library MS 1298;Stair Ercuil agus a Bás
National Library of Scotland 72.1.8;Togail na Tebe
British Library Egerton 1781;Togail na Tebe
Royal Irish Academy (Dublin) D iv 2;Riss in Mundtuirc
Royal Irish Academy (Dublin) D iv 2;Imthechta Aichil
King's Inns (Dublin) MS 12;Imthechta Aichil
Trinity College Library MS 1319;Togail Troí
Trinity College Library MS 1339;Togail Troí
Trinity College Library MS 1298;Togail Troí
Royal Irish Academy (Dublin) 24 P 12;Togail Troí
National Library of Scotland 72.1.15;Togail Troí
National Library of Scotland 72.1.8;Togail Troí
Royal Irish Academy (Dublin) D iv 2;Togail Troí
King's Inns (Dublin) MS 12;Togail Troí
UCC Book of Lismore;Leabhar Ser Marco Polo
Rennes MS 598;Eachtra Sheóin Mandavil
British Library, Egerton 1781;Eachtra Sheóin Mandavil
British Library, Additional 33993 (fragment);Eachtra Sheóin Mandavil
British Library, Egerton 1781;Stair Fortibrais
Bodleian (Oxford), Laud 610;Stair Fortibrais
Royal Irish Academy (Dublin) 23 0 48;Stair Fortibrais
Kings Inns (Dublin) MS 10;Stair Fortibrais
Trinity College Library MS 1307;Stair Fortibrais
UCC Book of Lismore;Gabháltus Séarluis Mhóir
University College Dublin, MS OFM A 9;Gabháltus Séarluis Mhóir
British Library, Egerton 1781;Gabháltus Séarluis Mhóir
British Library, Egerton 92 (fragment);Gabháltus Séarluis Mhóir
Trinity College Library MS 1304;Gabháltus Séarluis Mhóir
Trinity College Library MS 1298;Bethad Sir Gui ó Bharbhuic
Trinity College Library MS 1298;Bethad Bibuis ó Hamtuir
Royal Irish Academy (Dublin) D iv 2;Lorgaireacht an tSoidhigh Naomhtha
Bodleian (Oxford) Rawlinson B 512;Lorgaireacht an tSoidhigh Naomhtha
UCC Book of Lismore;Stair na Lumbardach
Trinity College Library MS 667;[Seven Wise Masters]
Trinity College Library MS 1339;Iartaige na hIngene
