Epistola presbyteri Johannis 	208
Epistola Soldani 	67
Epistolae Senecae ad Paulum et Pauli ad Senecam  	104
Epitome Novellarum Justiniani 	37
Etymachia 	110
Libellus carminum 	71
Excerpta ex operibus sancti Augustini 	23
Evangelium Nicodemi 	500
Expositio quattuor magistrorum super Regulam Fratrum Minorum 	37
Facetus (Cum nihil utilius) 	45
Facetus (Moribus et vita) 	30
Roma instaurata 	51
Epitome de re militari  	295
Flores temporum 	106
Expositio in epistolas beati Pauli ex operibus sancti Augustini 	85
Formula honestae vitae 	76
Formulae spiritalis intelligentiae 	29
Commentarii in quattuor libros Sententiarum 	38
Quaestiones libri Physicorum  	39
Rerum familiarium libri  	55
Rerum senilium libri  	39
Secretum meum 	94
Vita Terrentii 	86
Historiarum libri XII 	42
De arte venandi cum avibus 	10
Antigameratus 	57
De fide ad Petrum 	39
De spermate 	48
De tribus sociis 	30
Poetria nova 	200
Gallorum levitas Germanos iustificabit 	28
Aesopus 	190
De potentiis animae  	33
Expositio librorum Physicorum 	32
Expositio super Artem veterem 	65
Expositio super libros Politicorum 	39
De vita et moribus philosophorum 	105
Alexandreis 	209
Carmina 	79
Propter Sion non tacebo 	24
Dissuasio Valerii (sive Epistola Valerii ad Rufinum ne ducat uxorem) 	161
Passionarius Galeni 	44
Distinctiones 	53
Summa super titulis Decretalium 	280
Historia regum Britanniae 	215
Prophetia Merlini 	79
Pantheon 	39
Pentachronon sanctae Hildegardis 	108
Disputatio inter Catholicum et Paterinum hereticum 	54
Regulae de numerorum abaci rationibus 	40
Vitae fratrum Ordinis Praedicatorum 	50
Sermones de sanctis 	42
Sermones dominicales 	82
Cordiale 	60
Liber medicaminis volucrum 	16
Epistola XVI  	41
Sermo ad clerum Traiectensem de focaristis 	45
XXIV Articuli de notoriis focaristis 	37
Commentum in primum et secundum librum Sententiarum  	29
De spiritualibus ascensionibus 	125
Soliloquium 	34
Otia imperialia 	30
Gesta Romanorum 	138
Compendium medicinae 	42
Disputatio iudaei et christiani 	32
Commentaria in Boethii opuscula sacra 	51
Commentarium in Psalmos 	80
Commentarium in sancti Pauli epistolas  	73
Glossa ordinaria in Lamentationes Hieremiae prophetae 	88
Glossa ordinaria in Actus apostolorum 	30
Glossa ordinaria in Apocalypsim 	30
Glossa ordinaria in Canticum canticorum 	70
Glossa ordinaria in Danielem 	30
Glossa ordinaria in Deuteronomium 	30
Glossa ordinaria in Ecclesiasten 	30
Glossa ordinaria in Ecclesiasticum 	30
Glossa ordinaria in epistolas canonicas 	30
Glossa ordinaria in Exodum 	30
Glossa ordinaria in Ezechielem 	30
Glossa ordinaria in Genesim 	30
Glossa ordinaria in Hieremiam 	30
Glossa ordinaria in I Esdrae 	30
Glossa ordinaria in Isaiam 	30
Glossa ordinaria in Job 	30
Glossa ordinaria in Johannem 	222
Glossa ordinaria in Josue 	30
Glossa ordinaria in Leviticum 	30
Glossa ordinaria in libros Macchabeorum 	30
Glossa ordinaria in libros Paralipomenon 	30
Glossa ordinaria in libros Regum 	30
Glossa ordinaria in libros Tobias, Judith, Esther 	30
Glossa ordinaria in librum Judicum 	30
Glossa ordinaria in Lucam 	50
Glossa ordinaria in Marcum 	50
Glossa ordinaria in Matthaeum 	70
Glossa ordinaria in Neemiam 	30
Glossa ordinaria in Numeros 	30
Glossa ordinaria in Proverbia 	30
Glossa ordinaria in Psalmos 	30
Glossa ordinaria in Ruth 	30
Glossa ordinaria in Sapientiam 	30
Glossa ordinaria in XII prophetas 	30
Glosulae super Priscianum 	11
Expositio super orationem dominicam 	62
Goliae dialogus inter aquam et vinum 	27
